image_index,filename,timestamp_sec,timestamp_nanosec,capture_time,coordinate_frame,x_north_m,y_east_m,z_down_m,altitude_up_m,heading_rad,heading_deg,roll_rad,pitch_rad,yaw_rad,gimbal_pitch_deg
0,image_000000.jpg,18,580000000,2026-07-18T18:34:39.597,PX4_NED,-0.015293,-0.066593,0.040295,-0.040295,1.59099770,91.157453,nan,nan,1.59099770,nan
1,image_000001.jpg,19,604000000,2026-07-18T18:34:40.600,PX4_NED,-0.026198,-0.079875,0.031300,-0.031300,1.58940494,91.066195,nan,nan,1.58940494,nan
2,image_000002.jpg,20,628000000,2026-07-18T18:34:41.635,PX4_NED,-0.019035,-0.083657,0.015701,-0.015701,1.58883619,91.033608,nan,nan,1.58883619,nan
3,image_000003.jpg,21,652000000,2026-07-18T18:34:42.665,PX4_NED,-0.017156,-0.074070,0.011719,-0.011719,1.58798695,90.984950,nan,nan,1.58798695,nan
4,image_000004.jpg,22,672000000,2026-07-18T18:34:43.694,PX4_NED,-0.028082,-0.077238,-0.000980,0.000980,1.58479798,90.802236,nan,nan,1.58479798,nan
5,image_000005.jpg,23,696000000,2026-07-18T18:34:44.754,PX4_NED,-0.010357,-0.083330,-0.006409,0.006409,1.58360684,90.733988,nan,nan,1.58360684,nan
6,image_000006.jpg,24,720000000,2026-07-18T18:34:45.771,PX4_NED,0.003196,-0.065617,-0.017532,0.017532,1.58229828,90.659013,nan,nan,1.58229828,nan
7,image_000007.jpg,25,744000000,2026-07-18T18:34:46.817,PX4_NED,0.002318,-0.074613,-0.031921,0.031921,1.58039987,90.550243,nan,nan,1.58039987,nan
8,image_000008.jpg,26,764000000,2026-07-18T18:34:47.852,PX4_NED,0.002096,-0.068984,-0.028732,0.028732,1.58021629,90.539724,nan,nan,1.58021629,nan
9,image_000009.jpg,27,788000000,2026-07-18T18:34:48.906,PX4_NED,-0.001400,-0.073132,-0.015835,0.015835,1.57925820,90.484830,nan,nan,1.57925820,nan
10,image_000010.jpg,28,812000000,2026-07-18T18:34:49.933,PX4_NED,-0.002678,-0.079903,-0.003826,0.003826,1.57813954,90.420735,nan,nan,1.57813954,nan
11,image_000011.jpg,29,836000000,2026-07-18T18:34:50.988,PX4_NED,-0.008440,-0.084532,0.005280,-0.005280,1.57666194,90.336075,nan,nan,1.57666194,nan
12,image_000012.jpg,30,856000000,2026-07-18T18:34:52.026,PX4_NED,-0.009538,-0.082256,-0.000416,0.000416,1.57520616,90.252665,nan,nan,1.57520616,nan
13,image_000013.jpg,31,880000000,2026-07-18T18:34:53.049,PX4_NED,-0.007673,-0.075440,0.004055,-0.004055,1.57377255,90.170525,nan,nan,1.57377255,nan
14,image_000014.jpg,32,904000000,2026-07-18T18:34:54.097,PX4_NED,-0.003115,-0.092237,0.004532,-0.004532,1.57254970,90.100461,nan,nan,1.57254970,nan
15,image_000015.jpg,33,928000000,2026-07-18T18:34:55.152,PX4_NED,-0.012861,-0.095380,0.009052,-0.009052,1.57204568,90.071583,nan,nan,1.57204568,nan
16,image_000016.jpg,34,948000000,2026-07-18T18:34:56.186,PX4_NED,-0.015213,-0.096051,0.019375,-0.019375,1.57135785,90.032173,nan,nan,1.57135785,nan
17,image_000017.jpg,35,972000000,2026-07-18T18:34:57.218,PX4_NED,-0.013644,-0.095093,0.019226,-0.019226,1.57069170,89.994006,nan,nan,1.57069170,nan
18,image_000018.jpg,36,996000000,2026-07-18T18:34:58.252,PX4_NED,-0.020756,0.154710,-0.029686,0.029686,1.22032130,69.919260,nan,nan,1.22032130,nan
19,image_000019.jpg,38,20000000,2026-07-18T18:34:59.314,PX4_NED,0.781988,-1.691539,-1.562275,1.562275,0.87033707,49.866641,nan,nan,0.87033707,nan
20,image_000020.jpg,39,40000000,2026-07-18T18:35:00.343,PX4_NED,1.419119,-2.334754,-2.954552,2.954552,-2.33577585,-133.830098,nan,nan,-2.33577585,nan
21,image_000021.jpg,40,64000000,2026-07-18T18:35:01.362,PX4_NED,0.901670,-0.597621,-4.145138,4.145138,-2.05788851,-117.908326,nan,nan,-2.05788851,nan
