capture_index,filename,capture_time,image_stamp_sec,image_stamp_nanosec,mode,layer_index,x,y,z,yaw_rad,yaw_deg,tilt_deg
0,waypoint_000000.jpg,2026-07-18T19:00:15.272,49,40000000,layer_scan_L1,0,1.5053669214248657,1.5259219408035278,-8.977283477783203,1.4008165747407215,80.26087760461559,-40.0
1,waypoint_000001.jpg,2026-07-18T19:00:16.921,50,656000000,layer_scan_L1,0,3.8692784309387207,1.0973443984985352,-8.987846374511719,1.625816574740722,93.15242799505914,-40.0
2,waypoint_000002.jpg,2026-07-18T19:00:18.590,52,276000000,layer_scan_L1,0,6.345951080322266,1.0513551235198975,-8.975780487060547,1.8508165747407224,106.04397838550268,-40.0
3,waypoint_000003.jpg,2026-07-18T19:00:20.209,53,892000000,layer_scan_L1,0,8.77405834197998,1.583809733390808,-8.992809295654297,2.075816574740723,118.93552877594625,-40.0
4,waypoint_000004.jpg,2026-07-18T19:00:21.892,55,576000000,layer_scan_L1,0,11.030196189880371,2.754957675933838,-8.99639892578125,2.3008165747407237,131.8270791663898,-40.0
5,waypoint_000005.jpg,2026-07-18T19:00:23.550,57,192000000,layer_scan_L1,0,12.941667556762695,4.3190202713012695,-8.9970703125,2.525816574740724,144.71862955683335,-40.0
6,waypoint_000006.jpg,2026-07-18T19:00:25.187,58,808000000,layer_scan_L1,0,14.442291259765625,6.2929301261901855,-8.993858337402344,2.7508165747407247,157.6101799472769,-40.0
7,waypoint_000007.jpg,2026-07-18T19:00:26.831,60,424000000,layer_scan_L1,0,15.454557418823242,8.588766098022461,-8.992744445800781,2.975816574740725,170.50173033772043,-40.0
8,waypoint_000008.jpg,2026-07-18T19:00:28.464,62,44000000,layer_scan_L1,0,15.944653511047363,10.993735313415527,-8.992389678955078,-3.082368732438862,-176.60671927183606,-40.0
9,waypoint_000009.jpg,2026-07-18T19:00:30.141,63,660000000,layer_scan_L1,0,15.876426696777344,13.462699890136719,-9.006614685058594,-2.8573687324388617,-163.71516888139254,-40.0
10,waypoint_000010.jpg,2026-07-18T19:00:31.763,65,308000000,layer_scan_L1,0,15.27756118774414,15.867387771606445,-9.000328063964844,-2.632368732438861,-150.82361849094897,-40.0
11,waypoint_000011.jpg,2026-07-18T19:00:33.419,66,928000000,layer_scan_L1,0,14.153521537780762,18.026123046875,-9.007858276367188,-2.407368732438861,-137.93206810050546,-40.0
12,waypoint_000012.jpg,2026-07-18T19:00:35.086,68,576000000,layer_scan_L1,0,12.539253234863281,19.947317123413086,-8.997371673583984,-2.18236873243886,-125.04051771006188,-40.0
13,waypoint_000013.jpg,2026-07-18T19:00:36.723,70,192000000,layer_scan_L1,0,10.5885648727417,21.472091674804688,-9.010566711425781,-1.9573687324388598,-112.14896731961834,-40.0
14,waypoint_000014.jpg,2026-07-18T19:00:38.362,71,812000000,layer_scan_L1,0,8.34481430053711,22.439226150512695,-9.010467529296875,-1.732368732438859,-99.25741692917478,-40.0
15,waypoint_000015.jpg,2026-07-18T19:00:40.039,73,460000000,layer_scan_L1,0,5.898624897003174,22.923507690429688,-9.005672454833984,-1.5073687324388585,-86.36586653873123,-40.0
16,waypoint_000016.jpg,2026-07-18T19:00:41.689,75,76000000,layer_scan_L1,0,3.438509702682495,22.885488510131836,-9.009559631347656,-1.282368732438858,-73.47431614828766,-40.0
17,waypoint_000017.jpg,2026-07-18T19:00:43.346,76,696000000,layer_scan_L1,0,1.0846511125564575,22.258066177368164,-9.002460479736328,-1.0573687324388574,-60.58276575784411,-40.0
18,waypoint_000018.jpg,2026-07-18T19:00:44.993,78,344000000,layer_scan_L1,0,-1.077830195426941,21.10004997253418,-9.005863189697266,-0.8323687324388569,-47.69121536740056,-40.0
19,waypoint_000019.jpg,2026-07-18T19:00:46.674,79,960000000,layer_scan_L1,0,-3.005821943283081,19.505489349365234,-9.001949310302734,-0.6073687324388565,-34.79966497695701,-40.0
20,waypoint_000020.jpg,2026-07-18T19:00:48.265,81,544000000,layer_scan_L1,0,-4.453033447265625,17.580453872680664,-9.001426696777344,-0.3823687324388558,-21.90811458651345,-40.0
21,waypoint_000021.jpg,2026-07-18T19:00:49.909,83,164000000,layer_scan_L1,0,-5.494045257568359,15.295194625854492,-8.993762969970703,-0.1573687324388555,-9.01656419606991,-40.0
22,waypoint_000022.jpg,2026-07-18T19:00:51.592,84,812000000,layer_scan_L1,0,-5.954597473144531,12.84844970703125,-9.00283432006836,0.06763126756114507,3.8749861943736446,-40.0
23,waypoint_000023.jpg,2026-07-18T19:00:53.231,86,396000000,layer_scan_L1,0,-5.83589506149292,10.429492950439453,-9.007637023925781,0.2926312675611456,16.766536584817196,-40.0
24,waypoint_000024.jpg,2026-07-18T19:00:54.861,88,48000000,layer_scan_L1,0,-5.236749649047852,8.070815086364746,-9.010204315185547,0.5176312675611462,29.658086975260755,-40.0
25,waypoint_000025.jpg,2026-07-18T19:00:56.525,89,696000000,layer_scan_L1,0,-4.067971706390381,5.900236129760742,-8.988517761230469,0.7426312675611467,42.54963736570431,-40.0
26,waypoint_000026.jpg,2026-07-18T19:00:58.180,91,312000000,layer_scan_L1,0,-2.484539747238159,3.9771413803100586,-9.008747100830078,0.9676312675611473,55.44118775614786,-40.0
27,waypoint_000027.jpg,2026-07-18T19:01:03.217,96,264000000,layer_scan_L2,1,1.3970867395401,1.6341311931610107,-6.148921966552734,1.3803620292861758,79.08891847821161,-35.0
28,waypoint_000028.jpg,2026-07-18T19:01:04.724,97,748000000,layer_scan_L2,1,3.529742479324341,1.2338427305221558,-6.052745819091797,1.584907483831631,90.80850974225122,-35.0
29,waypoint_000029.jpg,2026-07-18T19:01:06.223,99,232000000,layer_scan_L2,1,5.778655052185059,1.1410284042358398,-6.0197906494140625,1.789452938377086,102.52810100629081,-35.0
30,waypoint_000030.jpg,2026-07-18T19:01:07.735,100,720000000,layer_scan_L2,1,7.9982590675354,1.440482497215271,-6.004398345947266,1.993998392922541,114.24769227033042,-35.0
31,waypoint_000031.jpg,2026-07-18T19:01:09.239,102,204000000,layer_scan_L2,1,10.06050968170166,2.2480504512786865,-6.002788543701172,2.198543847467996,125.96728353437,-35.0
32,waypoint_000032.jpg,2026-07-18T19:01:11.017,103,656000000,layer_scan_L2,1,11.93764877319336,3.475245714187622,-5.986072540283203,2.403089302013451,137.6868747984096,-35.0
33,waypoint_000033.jpg,2026-07-18T19:01:12.223,104,908000000,layer_scan_L2,1,13.51559829711914,5.061843395233154,-5.9965362548828125,2.607634756558906,149.4064660624492,-35.0
34,waypoint_000034.jpg,2026-07-18T19:01:13.728,106,296000000,layer_scan_L2,1,14.759039878845215,6.918839454650879,-6.006256103515625,2.8121802111043612,161.1260573264888,-35.0
35,waypoint_000035.jpg,2026-07-18T19:01:15.310,107,880000000,layer_scan_L2,1,15.559560775756836,9.026724815368652,-6.000152587890625,3.016725665649816,172.84564859052836,-35.0
36,waypoint_000036.jpg,2026-07-18T19:01:16.883,109,432000000,layer_scan_L2,1,15.963902473449707,11.244803428649902,-6.012001037597656,-3.0619141869843163,-175.4347601454321,-35.0
